id;latitud;provincia;altitud;indicativo;nombre;indsinop;longitud
656;364254N;MALAGA;7;6175X;RINC?N DE LA VICTORIA;;041710W
657;282222N;STA. CRUZ DE TENERIFE;551;C456R;CITFAGRO_69_SUERTE;;163231W
658;412852N;ZARAGOZA;370;9427X;LA ALMUNIA DE DO?A GODINA;;012251W
659;364607N;MALAGA;41;6199X;V?LEZ-M?LAGA;;040537W
660;282112N;STA. CRUZ DE TENERIFE;525;C467I;CITFAGRO_73_REDON;;164230W
661;424545N;HUESCA;1800;9445L;FORMIGAL, SARRIOS;8096;002334W
662;365523N;GRANADA;708;6258X;LANJAR?N;;032933W
663;275942N;LAS PALMAS;1060;C614H;TEJEDA;60038;153657W
664;415253N;LLEIDA;400;9650X;ARTESA DE SEGRE;;010631E
665;365849N;ALMERIA;16;6332X;CARBONERAS;8488;015413W
666;413326N;TARRAGONA;657;9726E;LLORAC;;011834E
667;282641N;LAS PALMAS;25;C249I;FUERTEVENTURA AEROPUERTO;60035;135147W
668;355618N;ALMERIA;15;6381;ALBOR?N;8490;030210W
669;423748N;HUESCA;992;9784P;BIELSA;8103;001329E
670;382732N;MURCIA;485;7138B;JUMILLA;;012007W
671;280737N;STA. CRUZ DE TENERIFE;880;C426I;CITFAGRO_77_PINAL;;163621W
672;423919N;HUESCA;1206;9812M;PARADOR DE ORDESA, PARQUE NACIONAL ORDESA Y MONTEPERDIDO;;000557W
673;380741N;MURCIA;150;7158X;ARCHENA;;011821W
674;280003N;LAS PALMAS;10;C619I;LA ALDEA DE SAN NICOL?S;60027;154850W
675;283029N;STA. CRUZ DE TENERIFE;19;C449F;ANAGA;;161144W
676;423318N;HUESCA;2374;9839V;CERLER, COGULLA;8923;003235E
677;385715N;ALBACETE;702;8175;ALBACETE BASE A?REA;8280;015123W
678;274648N;LAS PALMAS;10;C629Q;MOG?N, PUERTO RICO;;154240W
679;282341N;STA. CRUZ DE TENERIFE;1744;C453I;CITFAGRO_88_GAITERO;;162600W
680;430528N;NAVARRA;334;9995Y;VALCARLOS/LUZAIDE;;011803W
681;392850N;VALENCIA;11;8416;VAL?NCIA;8285;002159W
682;274529N;LAS PALMAS;45;C639M;MASPALOMAS, C. INSULAR TURISMO;;153432W
683;282201N;STA. CRUZ DE TENERIFE;218;C468I;CITFAGRO_98_ELDRAGO;;164320W
684;424835N;CANTABRIA;770;9016X;VALDERREDIBLE, CUBILLO DE EBRO;;040156W
685;274523N;STA. CRUZ DE TENERIFE;20;C939T;FRONTERA, SABINOSA;;180627W
686;275409N;LAS PALMAS;306;C648C;AG?IMES;;152714W
